,_merged_text
2270,mishima 213-782-0181
2271,seafood
2272,smith & wollensky 212-753-1530
2273,steakhouses
2274,142 w. 44th st.
2275,pen & pencil 212/682-8660
2276,228 w. 47th st.
2277,1110 third ave.
2278,asian
2279,nicola 213/485-0927
2280,11705 national blvd.
2281,french bistro
2282,american (new)
2283,bacchanalia 404-365-0410
2284,ruth's chris 212/245-9600
2285,61a seventh ave.
2286,one if by land  tibs 212-228-0822
2287,2355 peachtree rd. ne
2288,middle eastern
2289,french
2290,7371 melrose ave.
2291,sofi 213/651-0346
2292,continental
2293,pano's & paul's 404-261-3662
2294,178 broadway
2295,szechuan hunan cottage 212-535-5223
2296,255 courtland st.
2297,californian
2298,311 w. 17th st.
2299,aja 212/473-8388
2300,italian
2301,ghirardelli sq.
2302,southern
2303,hong kong flower lounge 415/668-8998
2304,buzio's in the rio 702-252-7697
2305,luna si 404/355-5993
2306,billy's 212/753-1870
2307,steakhouses
2308,615 sacramento st.
2309,italian
2310,macarthur park 415/398-5700
2311,1325 5th ave. at 111th st.
2312,film center cafe 212/ 262-2525
2313,south of france 404/325-6963
2314,303 peachtree st. ne
2315,riviera 404-262-7112
2316,1652 stockton st.
2317,continental
2318,348 e. 62nd st.
2319,cambodian
2320,gabriela's 212/961-0574
2321,italian
2322,70 w. crossville rd.
2323,cha cha cha's 415-386-5758
2324,18 e. broadway at catherine st.
2325,coffee bar
2326,il cortile 212/226-6060
2327,1059 broxton ave.
2328,italian
2329,joe's 310-399-5811
2330,american
2331,marnee thai 415-665-9500
2332,l'auberge du midi 212/242-4705
2333,4000 colfax ave.
2334,american
2335,main course  the 310-475-7564
2336,pacific rim
2337,32 w. 32nd st.
2338,palio 212/245-4850
2339,eclectic
2340,8474 w. third st.
2341,asian
2342,palace court 702-731-7110
2343,pink's famous chili dogs 213-931-4223
2344,205 e. 45th st.
2345,red tulip 212/734-4893
2346,italian
2347,111 s. san pedro st.
2348,heera of india 404-876-4408
2349,french bistro
2350,uncle bill's pancake house 310-545-5177
2351,148 w. 51st st.
2352,serendipity 212/838-3531
2353,17 barrow st.
2354,sarabeth's 212-410-7335
2355,490 e. paces ferry rd. ne
2356,american
2357,9 jones st.
2358,west beach cafe 310/823-5396
2359,american
2360,boulevard 415-543-6084
2361,terrace 212/666-9490
2362,1588 york ave.
2363,252 california st.
2364,wollensky's grill 212-753-0444
2365,321 w. 46th st.
2366,italian
2367,imperial fez 404/351-0870
2368,american
2369,au mandarin 212/385-0313
2370,vegetarian
2371,5322 geary blvd.
2372,postrio 415-776-7825
2373,3700 w. flamingo rd.
2374,italian
2375,moongate 702-791-7352
2376,1931 peachtree rd.
2377,r.j.'s uptown kitchen & wine bar 404/875-7775
2378,american
2379,c3 212/254-1200
2380,1486 2nd ave.  between 77th and 78th sts.
2381,cuban
2382,607 front st.
2383,asian
2384,635 9th ave.  between 44th and 45th sts.
2385,bistro  the 404-231-5733
2386,2345 cheshire bridge rd.
2387,battista's hole in the wall 702/732-1424
2388,519 e. paces ferry rd.
2389,zab-e-lee 404-768-2705
2390,old san francisco
2391,685 amsterdam ave. at 93rd st.
2392,french
2393,hard rock cafe 212/489-6565
2394,feast 702/367-2411
2395,1805 haight st.
2396,american
2397,kelly's on trinity 415-362-4454
2398,french
2399,125 mulberry st.  between canal and hester sts.
2400,middle eastern
2401,grill  the 310-276-0615
2402,jimmy sung's 212/682-5678
2403,1023 abbot kinney blvd.
2404,2225 irving st.
2405,swan oyster depot 415-673-1101
2406,310 w. 4th st.  between w. 12th and bank sts.
2407,french
2408,le gamin 212/254-4678
2409,10509 w. pico blvd.
2410,asian
2411,ocean park cafe 310-452-5728
2412,151 w. 51st. st.
2413,perry's 415/922-9022
2414,709 n. la brea ave.
2415,noodle shops
2416,french (new)
2417,shiro 818-799-4774
2418,439 e. 75th st.
2419,sammy's roumanian steak house 212/673-0330
2420,tadich grill 415/391-2373
2421,cafeterias
2422,american
2423,1305 highland ave.
2424,eclectic
2425,ritz-carlton restaurant 404-659-0400
2426,3 225 e. 60th st.
2427,sweet'n'tart cafe 212/334-8088
2428,1295 madison ave.
2429,3434 peachtree rd. ne
2430,american
2431,222 e. 58th st.  between 2nd and 3rd aves.
2432,french
2433,9001 santa monica blvd.
2434,648 bush st.
2435,400 w. 119th st.  between amsterdam and morningside aves.
2436,american
2437,turkish kitchen 212/679-1810
2438,la folie 415-776-5577
2439,205 e. 49th st.
2440,afghan
2441,hugo's cellar 702-385-4011
2442,2285 peachtree rd.  peachtree battle condominium
2443,carnegie deli 212-757-2245
2444,southern
2445,boonthai 212/249-8484
2446,italian
2447,225 varick st. at clarkston st.
2448,asian
2449,2450 broadway
2450,broadway deli 310/451-0616
2451,4100 cahuenga blvd.
2452,3400 las vegas blvd. s.
2453,italian
2454,tre visi 702-891-7331
2455,870 n. highland ave.
2456,taste of new orleans 404/874-5535
2457,italian
2458,italian
2459,56 e. andrews dr. nw
2460,indian
2461,chops 404-262-2675
2462,4041 audrie st. at flamingo rd.
2463,capozzoli's 702/731-5311
2464,4837 old national hwy.
2465,asian
2466,french
2467,221 w. 57th st.
2468,coffee bar
2469,campanile 213-938-1447
2470,2411 w. sahara ave.
2471,pamplemousse 702/733-2066
2472,333 bush st.
2473,phnom penh cambodian restaurant 415-775-5979
2474,steak houses
2475,219 e. 44th st.  between 2nd and 3rd aves.
2476,coffee bar
2477,lanza restaurant 212/674-7014
2478,1517 polk st.
2479,caffe dell'artista 212/645-4431
2480,asian
2481,oritalia 415/346-1333
2482,50 macdougal st.  between houston and prince sts.
2483,italian
2484,lola 212/675-6700
2485,3117 ocean park blvd.
2486,french
2487,american
2488,1944 union st.
2489,french bistro
2490,stars 415/861-7827
2491,french
2492,1505 mission st. s.
2493,californian
2494,157 chrystie st. at delancey st.
2495,240 california st.
2496,wu kong 415/957-9300
2497,american (new)
2498,indonesian
2499,1972 hillhurst ave.
2500,76 mott st. at canal st.
2501,coffee bar
2502,trattoria dell'arte 212/245-9800
2503,570 fourth st.
2504,french bistro
2505,aquavit 212-307-7311
2506,caribbean
2507,mexican
2508,21 w. 52nd st.
2509,west 212/246-6363
2510,386 3rd ave.  between 27th and 28th sts.
2511,italian
2512,adriano's ristorante 310/475-9807
2513,26025 pacific coast hwy.
2514,202 e. fremont st.
2515,diners
2516,island spice 212-765-1737
2517,american
2518,42 e. 20th st.
2519,3799 las vegas blvd. s.
2520,latin american
2521,9500 wilshire blvd.
2522,camille's 404/872-7203
2523,chan dara 213/467-1052
2524,french (classic)
2525,brookhaven cafe 404-231-5907
2526,889 w. peachtree st.
2527,american
2528,239 w. broadway
2529,cucina della fontana 212-242-0636
2530,70 w. paces ferry rd.
2531,harry's bar & american grill 310/277-2333
2532,pizza
2533,havana sandwich shop 404-636-4094
2534,3333 s. maryland pkwy.
2535,lillie langtry's 702/385-7111
2536,mexican
2537,old san francisco
2538,thai
2539,400 e. sahara ave.
2540,bardelli's 415/982-0243
2541,631 larkin st.
2542,cafe luxembourg 212/873-7411
2543,steak houses
2544,168 1st ave.  between 10th and 11th sts.
2545,mexican
2546,le marais 212/869-0900
2547,fusion
2548,des alpes 415/788-9900
2549,46 greenwich ave.
2550,diners
2551,casa la femme 212/505-0005
2552,1915 fillmore st.
2553,vegetarian
2554,30 west 22nd st.  between 5th and 6th ave.
2555,seafood
2556,6703 melrose ave.
2557,tex-mex
2558,dix et sept 212/645-8023
2559,150 redwood alley
2560,ton kiang 415/752-4440
2561,californian
2562,american
2563,coffee shops
2564,japanese
2565,101 spear st.
2566,italian
2567,asahi ramen 310-479-2231
2568,american
2569,900 7th ave.  between 56th and 57th sts.
2570,american
2571,verbena 212/260-5454
2572,dawat 212-355-7555
2573,american (new)
2574,chez melange 310-540-1222
2575,californian
2576,20 e. 76th st.
2577,63rd street steakhouse 44 w. 63rd st.
2578,french
2579,419 n. fairfax ave.
2580,atlanta fish market 404/262-3165
2581,cafe pinot 213/239-6500
2582,japanese
2583,manhattan ocean club 212-371-7777
2584,monkey bar 212/838-2600
2585,249 e. 50th st.
2586,afghan kebab house 212-307-1612
2587,4274 peachtree rd.
2588,1186 n. highland ave.
2589,mexican
2590,2424 main st.
2591,french quarter food shop 404/875-2489
2592,ed debevic's 310/659-1952
2593,japanese
2594,eats 404-888-9149
